campaign_id,name,channel,status,subject,preview_text,from_email,from_name,send_time,sent_at,created,updated,recipients,delivered,opens,unique_opens,clicks,unique_clicks,unsubscribes,bounces,spam_complaints,revenue_attributed,conversion_rate,open_rate,click_rate,unsubscribe_rate,bounce_rate
camp_17584727,Campaign 1 - Win-back,sms,sent,Subject line 1,Preview text here,hello@vahdam.com,VAHDAM India,2023-09-10 07:08:58,2023-09-10 07:08:58,2023-09-07 07:08:58,2023-09-10 07:08:58,37434,36310,9649,8201,2015,1612,35,92,3,13755.02,0.0363,0.2578,0.0538,0.0032,0.0068
camp_46630540,Campaign 2 - Seasonal,sms,sent,Subject line 2,Preview text here,hello@vahdam.com,VAHDAM India,2024-01-14 07:17:41,2024-01-14 07:17:41,2024-01-11 07:17:41,2024-01-14 07:17:41,29175,28299,6180,5253,1370,1096,32,55,4,1504.52,0.0195,0.2118,0.047,0.0019,0.0074
camp_99095762,Campaign 3 - Welcome,sms,sent,Subject line 3,Preview text here,hello@vahdam.com,VAHDAM India,2024-10-12 01:08:58,2024-10-12 01:08:58,2024-10-09 01:08:58,2024-10-12 01:08:58,30039,29137,6432,5467,1068,854,36,106,3,651.32,0.0569,0.2141,0.0356,0.0018,0.0185
camp_87237893,Campaign 4 - Flash Sale,email,sent,Subject line 4,Preview text here,hello@vahdam.com,VAHDAM India,2025-02-10 02:14:10,2025-02-10 02:14:10,2025-02-07 02:14:10,2025-02-10 02:14:10,6802,6597,1795,1525,205,164,48,57,1,7437.88,0.0224,0.2639,0.0301,0.0045,0.0056
camp_66684619,Campaign 5 - New Arrivals,email,sent,Subject line 5,Preview text here,hello@vahdam.com,VAHDAM India,2024-05-17 16:32:44,2024-05-17 16:32:44,2024-05-14 16:32:44,2024-05-17 16:32:44,34692,33651,11713,9956,1674,1339,10,137,4,10516.12,0.012,0.3376,0.0483,0.0047,0.0098
camp_73810003,Campaign 6 - Welcome,email,sent,Subject line 6,Preview text here,hello@vahdam.com,VAHDAM India,2023-12-06 15:50:53,2023-12-06 15:50:53,2023-12-03 15:50:53,2023-12-06 15:50:53,31862,30906,5054,4295,1049,839,38,165,0,551.92,0.0387,0.1586,0.0329,0.0019,0.0062
camp_43407093,Campaign 7 - Welcome,sms,sent,Subject line 7,Preview text here,hello@vahdam.com,VAHDAM India,2024-04-12 19:36:56,2024-04-12 19:36:56,2024-04-09 19:36:56,2024-04-12 19:36:56,32792,31808,8354,7100,1582,1265,18,17,3,14293.46,0.0465,0.2548,0.0482,0.0017,0.012
camp_58901592,Campaign 8 - Welcome,email,sent,Subject line 8,Preview text here,hello@vahdam.com,VAHDAM India,2024-07-03 06:30:40,2024-07-03 06:30:40,2024-06-30 06:30:40,2024-07-03 06:30:40,5750,5577,1112,945,237,189,6,197,5,13825.13,0.0165,0.1934,0.0412,0.004,0.0142
camp_17146846,Campaign 9 - Seasonal,email,sent,Subject line 9,Preview text here,hello@vahdam.com,VAHDAM India,2024-12-05 23:53:20,2024-12-05 23:53:20,2024-12-02 23:53:20,2024-12-05 23:53:20,16376,15884,3693,3139,521,416,16,109,4,1237.08,0.0197,0.2255,0.0318,0.004,0.0055
camp_37265207,Campaign 10 - New Arrivals,email,sent,Subject line 10,Preview text here,hello@vahdam.com,VAHDAM India,2024-12-29 07:08:08,2024-12-29 07:08:08,2024-12-26 07:08:08,2024-12-29 07:08:08,33451,32447,5163,4388,847,677,14,27,4,14973.79,0.0429,0.1543,0.0253,0.0046,0.0058
camp_64059477,Campaign 11 - Win-back,email,sent,Subject line 11,Preview text here,hello@vahdam.com,VAHDAM India,2023-08-04 14:26:50,2023-08-04 14:26:50,2023-08-01 14:26:50,2023-08-04 14:26:50,13227,12830,2191,1862,407,325,20,133,3,14253.58,0.0142,0.1656,0.0308,0.001,0.0129
camp_40838833,Campaign 12 - Flash Sale,sms,sent,Subject line 12,Preview text here,hello@vahdam.com,VAHDAM India,2025-01-05 04:40:22,2025-01-05 04:40:22,2025-01-02 04:40:22,2025-01-05 04:40:22,5139,4984,1173,997,241,192,32,36,1,10446.12,0.0218,0.2283,0.0469,0.0036,0.0058
camp_15268835,Campaign 13 - New Arrivals,sms,sent,Subject line 13,Preview text here,hello@vahdam.com,VAHDAM India,2023-04-13 13:57:01,2023-04-13 13:57:01,2023-04-10 13:57:01,2023-04-13 13:57:01,34280,33251,8247,7009,1724,1379,22,143,5,14045.56,0.0493,0.2406,0.0503,0.0036,0.0125
camp_55024174,Campaign 14 - Seasonal,sms,sent,Subject line 14,Preview text here,hello@vahdam.com,VAHDAM India,2024-05-02 17:19:57,2024-05-02 17:19:57,2024-04-29 17:19:57,2024-05-02 17:19:57,7924,7686,2682,2279,362,289,28,166,0,5608.6,0.0176,0.3385,0.0457,0.0014,0.0077
camp_45284688,Campaign 15 - Flash Sale,sms,sent,Subject line 15,Preview text here,hello@vahdam.com,VAHDAM India,2023-03-02 05:39:05,2023-03-02 05:39:05,2023-02-27 05:39:05,2023-03-02 05:39:05,13181,12785,2167,1841,462,369,38,117,5,9195.22,0.0141,0.1644,0.0351,0.0025,0.0124
camp_76244617,Campaign 16 - Seasonal,sms,sent,Subject line 16,Preview text here,hello@vahdam.com,VAHDAM India,2023-02-11 11:56:33,2023-02-11 11:56:33,2023-02-08 11:56:33,2023-02-11 11:56:33,13714,13302,2295,1950,329,263,27,41,4,9527.52,0.0339,0.1673,0.024,0.0027,0.0073
camp_40312243,Campaign 17 - Win-back,email,sent,Subject line 17,Preview text here,hello@vahdam.com,VAHDAM India,2024-08-27 10:48:13,2024-08-27 10:48:13,2024-08-24 10:48:13,2024-08-27 10:48:13,22280,21611,3785,3217,509,407,9,124,4,8454.38,0.058,0.1699,0.0228,0.0025,0.0154
camp_41063025,Campaign 18 - Win-back,sms,sent,Subject line 18,Preview text here,hello@vahdam.com,VAHDAM India,2023-09-09 13:21:43,2023-09-09 13:21:43,2023-09-06 13:21:43,2023-09-09 13:21:43,26524,25728,4710,4003,1141,912,32,157,5,10024.48,0.0489,0.1776,0.043,0.0022,0.0097
camp_12991636,Campaign 19 - Welcome,email,sent,Subject line 19,Preview text here,hello@vahdam.com,VAHDAM India,2023-10-13 20:52:50,2023-10-13 20:52:50,2023-10-10 20:52:50,2023-10-13 20:52:50,29682,28791,10138,8617,2524,2019,47,45,0,741.69,0.0361,0.3416,0.085,0.0014,0.01
camp_54483701,Campaign 20 - Seasonal,sms,sent,Subject line 20,Preview text here,hello@vahdam.com,VAHDAM India,2024-12-01 16:15:14,2024-12-01 16:15:14,2024-11-28 16:15:14,2024-12-01 16:15:14,12439,12065,3305,2809,412,329,20,152,1,5116.63,0.0207,0.2657,0.0331,0.001,0.0131
camp_71860077,Campaign 21 - Seasonal,sms,sent,Subject line 21,Preview text here,hello@vahdam.com,VAHDAM India,2024-09-19 05:46:28,2024-09-19 05:46:28,2024-09-16 05:46:28,2024-09-19 05:46:28,13614,13205,4756,4042,968,774,38,53,5,12551.91,0.0333,0.3493,0.0711,0.0043,0.005
camp_28719563,Campaign 22 - Seasonal,email,sent,Subject line 22,Preview text here,hello@vahdam.com,VAHDAM India,2023-01-28 23:02:43,2023-01-28 23:02:43,2023-01-25 23:02:43,2023-01-28 23:02:43,5326,5166,835,709,205,164,7,150,0,13178.23,0.0171,0.1568,0.0385,0.0038,0.0112
camp_31514914,Campaign 23 - New Arrivals,sms,sent,Subject line 23,Preview text here,hello@vahdam.com,VAHDAM India,2024-12-12 23:54:57,2024-12-12 23:54:57,2024-12-09 23:54:57,2024-12-12 23:54:57,22346,21675,4151,3528,604,483,26,156,3,2914.33,0.0223,0.1858,0.027,0.0039,0.0076
camp_43495870,Campaign 24 - Win-back,sms,sent,Subject line 24,Preview text here,hello@vahdam.com,VAHDAM India,2023-12-26 15:07:47,2023-12-26 15:07:47,2023-12-23 15:07:47,2023-12-26 15:07:47,36242,35154,6834,5808,1166,932,40,18,0,8255.53,0.0498,0.1886,0.0322,0.0015,0.0054
camp_95928808,Campaign 25 - Win-back,email,sent,Subject line 25,Preview text here,hello@vahdam.com,VAHDAM India,2024-01-12 11:27:39,2024-01-12 11:27:39,2024-01-09 11:27:39,2024-01-12 11:27:39,8234,7986,2733,2323,494,395,19,196,0,8597.8,0.0438,0.3319,0.06,0.0043,0.0142
camp_40144104,Campaign 26 - New Arrivals,sms,sent,Subject line 26,Preview text here,hello@vahdam.com,VAHDAM India,2024-06-19 22:13:38,2024-06-19 22:13:38,2024-06-16 22:13:38,2024-06-19 22:13:38,33817,32802,10169,8643,1401,1120,15,141,4,7018.34,0.0348,0.3007,0.0414,0.0033,0.0173
camp_83055864,Campaign 27 - Welcome,sms,sent,Subject line 27,Preview text here,hello@vahdam.com,VAHDAM India,2024-06-04 22:38:03,2024-06-04 22:38:03,2024-06-01 22:38:03,2024-06-04 22:38:03,29272,28393,5498,4673,781,624,41,11,4,1315.56,0.0584,0.1878,0.0267,0.0049,0.0072
camp_32088287,Campaign 28 - Seasonal,email,sent,Subject line 28,Preview text here,hello@vahdam.com,VAHDAM India,2023-10-28 20:56:00,2023-10-28 20:56:00,2023-10-25 20:56:00,2023-10-28 20:56:00,21017,20386,3661,3111,523,418,24,190,4,5568.13,0.022,0.1742,0.0249,0.0025,0.0108
camp_55009718,Campaign 29 - Flash Sale,sms,sent,Subject line 29,Preview text here,hello@vahdam.com,VAHDAM India,2023-04-25 01:34:02,2023-04-25 01:34:02,2023-04-22 01:34:02,2023-04-25 01:34:02,26145,25360,6487,5513,1352,1081,39,66,3,9662.5,0.0123,0.2481,0.0517,0.0043,0.0078
