id,report_date,report_period,channel,source,medium,sessions,new_visitors,orders,revenue,conversion_rate
ca6831f84543584e26590f4fc13a34a2,2023-01-01,monthly,google,google,cpc,11226,7462,437,25771.41,0.0389
7bd5820b94dc5aee477e9053994ed228,2023-01-01,monthly,meta,meta,cpc,12532,7659,216,17497.71,0.0172
3c1feedbd880d286ca50482e282c1ee7,2023-01-01,monthly,email,email,cpc,4480,2245,64,4267.65,0.0143
de23cf4390786122ed6569ab7b519374,2023-01-01,monthly,organic,organic,cpc,11526,5082,348,23013.19,0.0302
480ad0dbc7d93d333e25ebd7eaf13559,2023-01-01,monthly,direct,direct,cpc,1396,727,59,4501.89,0.0423
aaf769e39010699542f88e020e755087,2023-01-01,monthly,influencer,influencer,cpc,2280,1175,52,3336.09,0.0228
cf2743ffb5124d49f0780e51bf5ef956,2023-01-01,monthly,affiliate,affiliate,cpc,8278,5005,349,16549.89,0.0422
9139d3246a3f2c1945fe5ee33f927392,2023-02-01,monthly,google,google,cpc,7042,3458,141,11559.2,0.02
503a1c1bfb22c45480b0e55cb223da39,2023-02-01,monthly,meta,meta,cpc,1714,861,27,1956.69,0.0158
4eaf867a1525a438034e9fa9e006ad33,2023-02-01,monthly,email,email,cpc,3090,1318,75,3103.9,0.0243
7caf898cca71ad05aa9fdd964a937b21,2023-02-01,monthly,organic,organic,cpc,1610,1077,27,1845.99,0.0168
4236c3671f4516bad31c288a0f692fa6,2023-02-01,monthly,direct,direct,cpc,3815,2505,40,3574.8,0.0105
11e21e0aff7fb792c631f1f7357054cc,2023-02-01,monthly,influencer,influencer,cpc,4186,2295,42,1777.47,0.01
b16d8ac8246ab35316b012dcdffa4c65,2023-02-01,monthly,affiliate,affiliate,cpc,10465,4838,354,31434.29,0.0338
45cccaad36d9483cc089358e4430c488,2023-03-01,monthly,google,google,cpc,2412,1533,112,5183.79,0.0464
e9711bfe0d7f4e85f742e7c7648aa40e,2023-03-01,monthly,meta,meta,cpc,5661,3733,64,3426.45,0.0113
4a7109c13a31287130c7a52c45bb4093,2023-03-01,monthly,email,email,cpc,11073,5541,462,25845.11,0.0417
b11346e0d626b3460f10340633495d02,2023-03-01,monthly,organic,organic,cpc,8749,3669,274,15300.21,0.0313
4a3fe0b697ed5629b22c42ff4d970e0b,2023-03-01,monthly,direct,direct,cpc,10264,5227,103,6722.31,0.01
9eceb96b29a3ae655cd93f5997f3ed66,2023-03-01,monthly,influencer,influencer,cpc,5383,2338,262,14424.11,0.0487
8629260f0c7557aa94e8ad6d590beb6c,2023-03-01,monthly,affiliate,affiliate,cpc,12500,5519,259,22618.96,0.0207
3a27e6b9a1e6b368b7a4d61c819da737,2023-04-01,monthly,google,google,cpc,11711,6815,222,19438.99,0.019
283efa3d1db386eb3ddfe1e6eb47a3ec,2023-04-01,monthly,meta,meta,cpc,8443,4121,193,15989.3,0.0229
e3a5206411f1c5dd65dc28324e7e2e52,2023-04-01,monthly,email,email,cpc,3912,1688,77,3235.63,0.0197
8672694d3b238e5caac41f3f507f9019,2023-04-01,monthly,organic,organic,cpc,14662,9529,459,31624.68,0.0313
34a9c8183db9a2a4ad61e1fee0a2cfe4,2023-04-01,monthly,direct,direct,cpc,8406,4773,150,12052.32,0.0178
bd78ac07a25632540bc3a9a7e5285d1d,2023-04-01,monthly,influencer,influencer,cpc,9027,4347,400,27562.34,0.0443
bf5747b6124093f82c948807af4806bb,2023-04-01,monthly,affiliate,affiliate,cpc,2469,1651,43,2341.7,0.0174
94127f740b27f88d36e1cbcc47b7647f,2023-05-01,monthly,google,google,cpc,7169,4445,356,21964.06,0.0497
d7a8970f91a0a976d1b6c9c75f5d60ac,2023-05-01,monthly,meta,meta,cpc,11734,6138,402,17801.02,0.0343
9dbee2f96c6e11d44f5586186964e881,2023-05-01,monthly,email,email,cpc,9712,5877,222,19603.77,0.0229
25f04f9babd93e84ee5a0c6bb2adc495,2023-05-01,monthly,organic,organic,cpc,9694,5003,468,35646.98,0.0483
