id,user_id,we_id,event_name,event_time,channel,platform,device_type,city,country,country_code,session_id,experiment_id,campaign_id,event_properties,line_items,revenue,currency
wev155273640178,we_cust1792214339,WE2764576180,Added To Cart,2024-03-01 06:13:00,email,mobile,tablet,London,US,US,sess10923527,,,{},[],0.0,USD
wev904675975765,we_cust7016293621,WE9857636901,Order created,2024-07-08 07:21:58,android,web,tablet,New York,US,US,sess51126359,,,{},[],90.76,USD
wev746811509444,we_cust5625411308,WE6710824328,Added To Cart,2024-03-08 17:36:16,web,web,tablet,London,US,US,sess21636371,,,{},[],0.0,USD
wev224173298898,we_cust8543865915,WE9587235498,Homepage Viewed,2024-10-19 08:40:04,ios,mobile,tablet,New York,US,US,sess10329859,,,{},[],0.0,USD
wev894712122559,we_cust1993998848,WE4240828665,Product Viewed,2024-12-10 18:24:53,email,web,desktop,New York,US,US,sess40509497,,,{},[],0.0,USD
wev246967350293,we_cust3412365931,WE4651195383,Category Viewed,2024-08-26 03:07:05,email,mobile,desktop,Los Angeles,US,US,sess43815008,,,{},[],0.0,USD
wev739043947851,we_cust3515167269,WE6366445436,Product Viewed,2025-02-22 14:31:37,android,web,desktop,Los Angeles,US,US,sess79731502,,,{},[],0.0,USD
wev199827970984,we_cust5694190173,WE5809107833,Checkout created,2025-03-25 12:43:17,ios,mobile,tablet,Los Angeles,US,US,sess58404222,,,{},[],0.0,USD
wev249876194413,we_cust9237880732,WE3363981486,Category Viewed,2024-05-01 19:20:39,email,mobile,desktop,Los Angeles,US,US,sess77396901,,,{},[],0.0,USD
wev898305301008,we_cust5293274004,WE4235528916,Homepage Viewed,2024-10-17 20:09:51,android,web,mobile,New York,US,US,sess44217250,,,{},[],0.0,USD
wev680171251186,we_cust3768901084,WE5396692667,Added To Cart,2024-02-29 11:01:42,web,web,mobile,New York,US,US,sess69924557,,,{},[],0.0,USD
wev633323270706,we_cust7540301973,WE9457153306,Product Viewed,2024-03-03 21:53:26,ios,web,mobile,London,US,US,sess57560899,,,{},[],0.0,USD
wev244471395216,we_cust8118065825,WE8757821434,Product Viewed,2024-08-27 00:25:17,ios,web,mobile,London,US,US,sess15375115,,,{},[],0.0,USD
wev799613256809,we_cust9837912162,WE4147957726,Homepage Viewed,2025-03-12 00:04:31,ios,web,desktop,New York,US,US,sess30362096,,,{},[],0.0,USD
wev523543321847,we_cust1855256552,WE8926657235,Product Viewed,2024-06-10 18:16:50,ios,web,desktop,London,US,US,sess85534464,,,{},[],0.0,USD
wev281731784809,we_cust6161147047,WE6649158541,Homepage Viewed,2025-02-02 06:08:12,email,web,mobile,Los Angeles,US,US,sess68754463,,,{},[],0.0,USD
wev140084918184,we_cust7951902330,WE8257867511,Product Viewed,2024-06-26 20:14:19,ios,web,desktop,London,US,US,sess32305212,,,{},[],0.0,USD
wev976367512566,we_cust1594312071,WE1430491334,Product Viewed,2025-03-25 04:25:42,android,web,tablet,London,US,US,sess98289015,,,{},[],0.0,USD
wev110160110964,we_cust6719736115,WE7445220210,Product Searched,2025-01-17 13:16:01,web,mobile,tablet,New York,US,US,sess94450665,,,{},[],0.0,USD
wev420777964822,we_cust9661615016,WE6184770893,Checkout created,2024-02-19 04:53:35,email,mobile,mobile,Los Angeles,US,US,sess31417752,,,{},[],0.0,USD
wev819967933640,we_cust8015124886,WE7297114876,Order created,2024-11-20 16:35:35,web,mobile,desktop,New York,US,US,sess95886712,,,{},[],76.88,USD
wev687597752896,we_cust7481631841,WE2026769483,Order created,2024-07-27 05:49:48,web,web,mobile,New York,US,US,sess39544710,,,{},[],70.57,USD
wev533501078886,we_cust9381721143,WE3459567374,Checkout created,2025-01-03 03:41:04,android,web,tablet,Los Angeles,US,US,sess19214106,,,{},[],0.0,USD
wev988661194976,we_cust3128675098,WE7516077073,Product Viewed,2024-09-03 17:16:06,email,web,desktop,Los Angeles,US,US,sess85528910,,,{},[],0.0,USD
wev718335890110,we_cust7183058541,WE9236768996,Category Viewed,2024-03-08 08:53:07,android,mobile,tablet,New York,US,US,sess50253310,,,{},[],0.0,USD
wev237459619797,we_cust7685540186,WE9698676878,Checkout created,2024-02-22 09:34:34,android,mobile,mobile,New York,US,US,sess43405033,,,{},[],0.0,USD
wev638481468544,we_cust2801177461,WE4265697036,Product Viewed,2024-09-30 08:06:11,email,web,tablet,New York,US,US,sess63209033,,,{},[],0.0,USD
wev423907424086,we_cust3319936135,WE5778771832,Checkout created,2024-02-02 13:26:15,ios,mobile,desktop,London,US,US,sess19117804,,,{},[],0.0,USD
wev477959887453,we_cust7226553010,WE7744336235,Product Searched,2025-03-02 00:37:54,android,mobile,tablet,London,US,US,sess51502381,,,{},[],0.0,USD
wev664235056065,we_cust9115282784,WE5471878663,Product Viewed,2024-12-06 18:08:17,email,web,mobile,New York,US,US,sess60837334,,,{},[],0.0,USD
wev713695427685,we_cust6307626407,WE4431672334,Product Viewed,2024-01-18 12:46:57,android,mobile,mobile,Los Angeles,US,US,sess85492349,,,{},[],0.0,USD
wev737102098877,we_cust7431813987,WE6153379934,Product Viewed,2024-10-14 18:43:16,web,mobile,desktop,New York,US,US,sess71467792,,,{},[],0.0,USD
wev227732145323,we_cust8953726023,WE6498285394,Checkout created,2025-02-18 21:13:36,ios,mobile,tablet,Los Angeles,US,US,sess92013169,,,{},[],0.0,USD
wev896022777378,we_cust4277561834,WE5454908969,Order created,2025-02-07 09:39:18,email,mobile,mobile,London,US,US,sess89660852,,,{},[],104.28,USD
wev225654480649,we_cust2960432117,WE6145412139,Product Searched,2024-12-01 11:50:07,web,web,mobile,Los Angeles,US,US,sess66805079,,,{},[],0.0,USD
wev548713595536,we_cust8417757797,WE3045695045,Added To Cart,2024-05-07 07:00:39,email,web,desktop,Los Angeles,US,US,sess15049500,,,{},[],0.0,USD
wev814289547596,we_cust8796293088,WE2307735677,Product Viewed,2024-05-20 09:39:07,android,web,mobile,New York,US,US,sess24999167,,,{},[],0.0,USD
wev628809271308,we_cust7805745017,WE7399366474,Product Searched,2024-01-30 13:00:49,android,web,mobile,Los Angeles,US,US,sess48683628,,,{},[],0.0,USD
wev740745581237,we_cust6153541642,WE2554930945,Added To Cart,2024-05-04 19:33:18,web,web,tablet,Los Angeles,US,US,sess30406860,,,{},[],0.0,USD
wev982701642966,we_cust2616884203,WE5481617998,Product Searched,2024-05-20 02:27:48,ios,web,mobile,London,US,US,sess22057924,,,{},[],0.0,USD
wev653383490869,we_cust5364727160,WE7105913114,Added To Cart,2024-08-12 06:28:32,ios,mobile,tablet,London,US,US,sess69921322,,,{},[],0.0,USD
wev599796096837,we_cust4895020135,WE5564290575,Order created,2024-07-28 07:27:16,ios,web,mobile,New York,US,US,sess41690632,,,{},[],130.04,USD
wev298175345602,we_cust8598503901,WE9142541020,Checkout created,2024-12-09 15:06:47,android,mobile,desktop,Los Angeles,US,US,sess50907329,,,{},[],0.0,USD
wev983145385317,we_cust1439427140,WE6503516400,Product Viewed,2024-04-22 14:12:49,web,mobile,mobile,Los Angeles,US,US,sess42777970,,,{},[],0.0,USD
wev240102768087,we_cust8674224347,WE3080171986,Homepage Viewed,2024-07-30 11:39:40,android,mobile,mobile,Los Angeles,US,US,sess68886998,,,{},[],0.0,USD
wev565632022441,we_cust3291270703,WE9098811345,Product Viewed,2025-01-13 09:00:41,ios,web,tablet,Los Angeles,US,US,sess24898108,,,{},[],0.0,USD
wev942503521807,we_cust3980491761,WE5534153250,Added To Cart,2025-01-06 06:09:40,ios,mobile,desktop,Los Angeles,US,US,sess69470332,,,{},[],0.0,USD
wev801376695200,we_cust6704841644,WE1031600180,Product Viewed,2025-01-10 10:18:04,ios,web,desktop,London,US,US,sess58523676,,,{},[],0.0,USD
wev865883916289,we_cust3799264931,WE6162592342,Checkout created,2024-08-08 03:15:38,email,mobile,tablet,London,US,US,sess43006985,,,{},[],0.0,USD
wev161476533581,we_cust8235363119,WE9971343397,Product Searched,2024-07-16 21:48:05,ios,mobile,mobile,London,US,US,sess20035515,,,{},[],0.0,USD
wev458460450476,we_cust4536306171,WE1166549905,Product Searched,2024-09-24 18:24:01,web,mobile,desktop,Los Angeles,US,US,sess73110543,,,{},[],0.0,USD
wev751424623981,we_cust1489726608,WE8569797390,Product Viewed,2024-05-16 02:41:40,android,web,desktop,London,US,US,sess43933289,,,{},[],0.0,USD
wev556671959842,we_cust4531928910,WE3443069216,Product Viewed,2024-04-27 18:07:33,android,mobile,mobile,London,US,US,sess46050573,,,{},[],0.0,USD
wev567463736708,we_cust7665963761,WE3194818842,Order created,2025-02-13 08:58:56,web,web,desktop,Los Angeles,US,US,sess22215975,,,{},[],98.11,USD
wev151840849173,we_cust5182110973,WE9935763044,Product Viewed,2025-03-30 11:36:58,web,web,tablet,London,US,US,sess44612852,,,{},[],0.0,USD
wev208150223812,we_cust2950049698,WE3968943124,Added To Cart,2024-07-03 06:42:45,android,web,tablet,New York,US,US,sess41966177,,,{},[],0.0,USD
wev374659151134,we_cust1726990714,WE8809278389,Product Viewed,2025-02-23 13:09:13,android,mobile,desktop,London,US,US,sess16477176,,,{},[],0.0,USD
wev240814501772,we_cust6837342064,WE8422294377,Product Viewed,2024-04-12 15:11:18,email,mobile,desktop,New York,US,US,sess11823250,,,{},[],0.0,USD
wev730386373803,we_cust6509985983,WE2781569905,Product Viewed,2024-10-21 18:17:24,web,mobile,tablet,London,US,US,sess70117931,,,{},[],0.0,USD
wev208897520113,we_cust4042413312,WE7992387139,Product Searched,2024-10-11 13:23:19,android,web,desktop,Los Angeles,US,US,sess76097072,,,{},[],0.0,USD
